Quantity;Name;Calories;Protides;Lipides;Glucides;SubCategory;Category;Unit;;;;
100;ITM 0 Printiligne 0 Fromage blanc à 0% (MG) 0 1kg;49;7,5;0;4,7;Lait et produits laitiers;Protides;g;;;;
100;ITM 0 Printiligne 0 Fromage blanc à 0% (MG) 0 4x100;46;7,6;0;4;Lait et produits laitiers;Protides;g;;;;
100;ITM 0 Fromage blanc Paturages 3,2% MG;75;7;3,2;4;Lait et produits laitiers;Protides;g;;;;
100;Fromage blanc lait Brebis à 0% (MG);53;8;1;4;Lait et produits laitiers;Protides;g;;;;
100;Faiselle 0%;32;5;0;3;Lait et produits laitiers;Protides;g;;;;
100;Yaourt Soja;46;5;3;1;Lait et produits laitiers;Protides;g;;;;
100;Lait écrémé;34;4;0;5;Lait et produits laitiers;Protides;ml;;;;
100;ITM 0 Lait demi0écrémé Pâturages;46;3,2;1,6;4,8;Lait et produits laitiers;Protides;ml;;;;
100;Lait Soja;54;5;2;5;Lait et produits laitiers;Protides;ml;;;;
100;Lait Amande;48;1;2;6;Lait et produits laitiers;Protides;ml;;;;
100;Lait Riz;47;0;1;9;Lait et produits laitiers;Protides;ml;;;;
100;Fromage de Chèvre (demi mou);361;24;29;2;Lait et produits laitiers;Protides;g;;;;
100;Brochet;78;18;1;0;Poissons et crustacés;Protides;g;;;;
100;Cabillaud;79;18;1;0;Poissons et crustacés;Protides;g;;;;
100;ITM 0 Cabillaud surgelé Odyssée;74;16,5;0,6;0;Poissons et crustacés;Protides;g;;;;
100;Morue;0;18;1;0;Poissons et crustacés;Protides;g;;;;
100;Crevettes;98;21;2;0;Poissons et crustacés;Protides;g;;;;
100;Daurade;77;17;1;0;Poissons et crustacés;Protides;g;;;;
100;Saumon frais;200;20;14;0;Poissons et crustacés;Protides;g;;;;
100;ITM 0 Saumon surgelé Odyssée;97;20;1,8;0;Poissons et crustacés;Protides;g;;;;
100;ITM 0 Pavé saumon sauvage 0 Top Budget (2x125g);99;21,4;1,1;0;Poissons et crustacés;Protides;g;;;;
100;Saumon fumé;265;22;20;0;Poissons et crustacés;Protides;g;;;;
100;Truite fumé;156;23;7;0;Poissons et crustacés;Protides;g;;;;
100;ITM 0 Thon albacore au naturel Odyssée;119;27,4;1;0;Poissons et crustacés;Protides;g;;;;
100;Bar;105;20;3;0;Poissons et crustacés;Protides;g;;;;
100;Loup;105;20;3;0;Poissons et crustacés;Protides;g;;;;
100;Boeuf (moyenne);180;20;11;0;Viandes, Vollailes et oeufs;Protides;g;;;;
100;Veau (moyenne);175;19;11;0;Viandes, Vollailes et oeufs;Protides;g;;;;
100;ITM 0 Steack Haché 5% MG, surgelé (Jean Rozé);120;21;5;0;Viandes, Vollailes et oeufs;Protides;g;;;;
100;Steack Haché 5% (MG);121;20;5;0;Viandes, Vollailes et oeufs;Protides;g;;;;
100;ITM 0 Steack Haché 10% (MG) (Jean Rozé);162;20;10;0;Viandes, Vollailes et oeufs;Protides;g;;;;
1;Jambon;46;8;1;0;Viandes, Vollailes et oeufs;Protides;slice;;;;
100;Dinde (escalope);125;22;4;0;Viandes, Vollailes et oeufs;Protides;g;;;;
100;ITM 0 Dinde (escalope), Volaé;125;22;4;0;Viandes, Vollailes et oeufs;Protides;g;;;;
100;Poulet (sans peau);125;22;4;0;Viandes, Vollailes et oeufs;Protides;g;;;;
100;Tofu;125;13;7;2;Viandes, Vollailes et oeufs;Protides;g;;;;
1;Oeuf de poule;80;8;6;0;Viandes, Vollailes et oeufs;Protides;none;;;;
100;Thé vert matcha;319;26,3;5;27,2;Autres;Protides;g;;;;
1;Avocat;322;4;29;17;Fruits;Lipides;none;;;;
10;Beurre;75;0;8,4;0;Huiles & matières grasses;Lipides;g;;;;
10;Beurre 'allégé';40;0,7;4,1;0,1;Huiles & matières grasses;Lipides;g;;;;
1;Huile Olive;81;0;13;0;Huiles & matières grasses;Lipides;cas;;;;
1;Huile Coco;119;0;13;0;Huiles & matières grasses;Lipides;cas;;;;
1;Huile Noix;90;0;10;0;Huiles & matières grasses;Lipides;cas;;;;
1;Huile Lin;90;0;10;0;Huiles & matières grasses;Lipides;cas;;;;
1;Huile Colza;90;0;10;0;Huiles & matières grasses;Lipides;cas;;;;
100;Amandes;634;20;54;17;Oleagineux;Lipides;g;;;;
1;Amande;10;0;1;0;Oleagineux;Lipides;none;;;;
100;Pistaches;572;21;46;28;Oleagineux;Lipides;g;;;;
100;Noix;660;15;60;12;Oleagineux;Lipides;g;;;;
1;Noix;24;1;2;0;Oleagineux;Lipides;none;;;;
100;Noix de Cajou;612;19;48;26;Oleagineux;Lipides;g;;;;
1;Noix de Cajou;9;0;1;0;Oleagineux;Lipides;g;;;;
100;Noix de Pécan;691;9;72;14;Oleagineux;Lipides;g;;;;
100;Beurre de cacahuète;627;27;49;17;Oleagineux;Lipides;g;;;;
100;Purée d'amandes complètes;612;20;54;14;Oleagineux;Lipides;g;;;;
100;Noix de coco;354;3;33;15;Oleagineux;Lipides;g;;;;
100;Graines de Lin;534;18;42;29;Oleagineux;Lipides;g;;;;
100;Graines de Chia;454;21;31;5;Oleagineux;Lipides;g;;;;
2;Chocolat Noir 85%;106;2;9;4;Oleagineux;Lipides;square;;;;
100;Lait de coco;169;2;17;2;Oleagineux;Lipides;ml;;;;
1;Cacao VanHouten;56,3;3;3,1;1,8;Oleagineux;Lipides;cas;;;;
1;Pamplemousse;80;2;0;18;Céréales & pomme de terre / Légumineuses;Glucides;none;;;;
1;Pomme;73;0;0;17;Céréales & pomme de terre / Légumineuses;Glucides;none;;;;
1;Orange;62;1;1;15;Céréales & pomme de terre / Légumineuses;Glucides;none;;;;
100;Jus orange;45;1;1;9;Céréales & pomme de terre / Légumineuses;Glucides;ml;;;;
100;ITM 0 Jus orange Paquito 100% pur jus pressé 1L avec pulpe;46;1;0;11;Céréales & pomme de terre / Légumineuses;Glucides;ml;;;;
1;Datte;23;0;0;6;Céréales & pomme de terre / Légumineuses;Glucides;none;;;;
100;Datte;287;1,8;0;65;Céréales & pomme de terre / Légumineuses;Glucides;g;;;;
1;Kiwi;46;1;0;11;Céréales & pomme de terre / Légumineuses;Glucides;none;;;;
1;Prune;43;0,7;0,3;8,8;Céréales & pomme de terre / Légumineuses;Glucides;none;;;;
1;Poire;96;1;0;26;Céréales & pomme de terre / Légumineuses;Glucides;none;;;;
1;Miel;93;0;0;23;Céréales & pomme de terre / Légumineuses;Glucides;cas;;;;
1;Sirop d'Agave;31;0;0;8;Céréales & pomme de terre / Légumineuses;Glucides;cas;;;;
1;Sirop d'Erable;51;0;0;13;Céréales & pomme de terre / Légumineuses;Glucides;cas;;;;
100;Baies de Goji;321;14;2;69;Céréales & pomme de terre / Légumineuses;Glucides;g;;;;
100;Aubergine;29;1;0;6;Légumes verts;Vegetables;g;;;;
100;Betterave rouge;40;2;0;8;Légumes verts;Vegetables;g;;;;
100;Brocolis;34;3;0;6;Légumes verts;Vegetables;g;;;;
100;ITM 0 Saint Eloi, Brocolis en fleurette, surgelé 1kg;24;2,7;0;1,6;Légumes verts;Vegetables;g;;;;
100;Chou fleur;30;3;0;5;Légumes verts;Vegetables;g;;;;
100;Concombre;13;1;0;2;Légumes verts;Vegetables;g;;;;
100;Courgette;30;1;0;6;Légumes verts;Vegetables;g;;;;
100;Epinards;25;2;0;3;Légumes verts;Vegetables;g;;;;
100;ITM 0 Saint Eloi 0 Haricot vert précuit vapeur 750g;30;2;0;3,5;Légumes verts;Vegetables;g;;;;
100;Salade romaine;18;1;0;3;Légumes verts;Vegetables;g;;;;
100;Tomate;20;1;0;4;Légumes verts;Vegetables;g;;;;
100;Champignon;28;2;0;5;Légumes verts;Vegetables;g;;;;
100;Petit pois & carottes;38;2;0;8;Légumes verts;Vegetables;g;;;;
100;Carottes;35;1;0;8;Légumes verts;Vegetables;g;;;;
